Date,Month,Season,ADG_INT,GBD_5min,GrazeMinutes,GrazeHrs_5min,MeanTA,MoonitorID,Pasture,Year,Week,Deployment,RFID,Rest,Walk,Graze,Total,%Graze,%Rest,GrazeHrs_4sec,Eartag
9/25/2019,9,2,1,205,620,10.33333333,40.81310657,21,19N,2019,13,1, 0-2309577,11459,571,9583,21613,44.3,53,10.6,1153
9/25/2019,9,2,1,211.3166667,633.95,10.56583333,22.10283935,22,19N,2019,13,1, 0-2338641,11689,566,9366,21621,43.3,54.1,10.4,242
9/25/2019,9,2,1,167.2375,658.95,10.9825,31.7036051,23,19N,2019,13,1, 0-2310363,10703,537,10364,21604,48,49.5,11.5,1037
9/25/2019,9,2,1,151.4916667,625.9666667,10.45443685,42.43117117,8,22W,2019,13,1, 0-2309508,11031,897,9672,21600,44.8,51.1,10.7,781
9/25/2019,9,2,1,166.9888889,500.9666667,8.349444444,29.70208603,9,22W,2019,13,1, 0-3213490,13148,717,7724,21589,35.8,60.9,8.6,664
9/25/2019,9,2,1,178.6555556,550.9666667,9.182777778,33.28904927,11,22W,2019,13,1, 0-3213439,12606,775,8229,21610,38.1,58.3,9.1,796
9/25/2019,9,2,1,159.7375,653.95,10.8766329,37.54608773,1,23E,2019,13,1, 0-2338524,11021,766,9852,21639,45.5,50.9,10.9,764
9/25/2019,9,2,1,172.9541667,691.8166667,11.53027778,39.62608762,7,23E,2019,13,1, 0-3223934,11086,465,10060,21611,46.6,51.3,11.2,769
9/26/2019,9,2,1,186.6666667,555,9.25,55.78573867,21,19N,2019,13,1, 0-2309577,12344,635,8618,21597,39.9,57.2,9.6,1153
9/26/2019,9,2,1,194.3277778,582.9833333,9.716388889,35.49393271,22,19N,2019,13,1, 0-2338641,12273,448,8895,21616,41.2,56.8,9.9,242
9/26/2019,9,2,1,126.5966667,632.9833333,10.54972222,32.78391234,23,19N,2019,13,1, 0-2310363,10568,531,10509,21608,48.6,48.9,11.7,1037
9/26/2019,9,2,1,113.1933333,575.9666667,9.599444444,41.68027971,8,22W,2019,13,1, 0-2309508,12255,734,8640,21629,39.9,56.7,9.6,781
9/26/2019,9,2,1,135.2375,540.95,9.015937684,25.96415002,9,22W,2019,13,1, 0-3213490,12906,694,8019,21619,37.1,59.7,8.9,664
9/26/2019,9,2,1,148.9916667,605.9666667,10.09944444,28.99488213,11,22W,2019,13,1, 0-3213439,11957,612,9023,21592,41.8,55.4,10,796
9/26/2019,9,2,1,177.7416667,715.9666667,12.08368397,38.19998687,1,23E,2019,13,1, 0-2338524,10346,811,10453,21610,48.4,47.9,11.6,764
9/26/2019,9,2,1,146.4916667,580.9666667,9.682777778,29.90254401,7,23E,2019,13,1, 0-3223934,12356,638,8617,21611,39.9,57.2,9.6,769
5/15/2020,5,1,2,63.77222222,575.9666667,9.652960277,59.18776947,1,15E,2020,1,1,2338524,11855,1365,8405,21625,38.9,54.8,9.3,685
5/15/2020,5,1,2,52.86555556,797.9833333,13.37386669,55.58623281,5,15E,2020,1,1,3213479,8605,1739,11285,21629,52.2,39.8,12.5,558
